127.0.0.1 - - [18/Aug/2017:20:03:35 +0200] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [18/Aug/2017:20:03:37 +0200] "GET /Simple-web-forum/WEB-SRC/StyleSettings.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Aug/2017:20:03:37 +0200] "GET /Simple-web-forum/WriteTest.jsp HTTP/1.1" 200 722
0:0:0:0:0:0:0:1 - - [18/Aug/2017:20:03:45 +0200] "GET /Simple-web-forum/WriteTest.jsp HTTP/1.1" 200 722
0:0:0:0:0:0:0:1 - - [18/Aug/2017:20:03:46 +0200] "GET /Simple-web-forum/WEB-SRC/StyleSettings.css HTTP/1.1" 200 1434
0:0:0:0:0:0:0:1 - - [18/Aug/2017:20:03:46 +0200] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [18/Aug/2017:20:03:46 +0200] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [18/Aug/2017:20:08:38 +0200] "GET /Simple-web-forum/WriteTest.jsp HTTP/1.1" 200 722
0:0:0:0:0:0:0:1 - - [18/Aug/2017:20:08:38 +0200] "GET /Simple-web-forum/WEB-SRC/StyleSettings.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Aug/2017:20:08:45 +0200] "GET /Simple-web-forum/WriteTest.jsp HTTP/1.1" 200 754
0:0:0:0:0:0:0:1 - - [18/Aug/2017:20:08:45 +0200] "GET /Simple-web-forum/WEB-SRC/StyleSettings.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Aug/2017:20:09:05 +0200] "GET /Simple-web-forum/WriteTest.jsp HTTP/1.1" 200 794
0:0:0:0:0:0:0:1 - - [18/Aug/2017:20:09:06 +0200] "GET /Simple-web-forum/WEB-SRC/StyleSettings.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Aug/2017:20:15:53 +0200] "GET /Simple-web-forum/WriteTest.jsp HTTP/1.1" 200 794
0:0:0:0:0:0:0:1 - - [18/Aug/2017:20:15:53 +0200] "GET /Simple-web-forum/WEB-SRC/StyleSettings.css HTTP/1.1" 200 1726
0:0:0:0:0:0:0:1 - - [18/Aug/2017:20:16:09 +0200] "GET /Simple-web-forum/WriteTest.jsp HTTP/1.1" 200 794
0:0:0:0:0:0:0:1 - - [18/Aug/2017:20:16:09 +0200] "GET /Simple-web-forum/WEB-SRC/StyleSettings.css HTTP/1.1" 200 1724
0:0:0:0:0:0:0:1 - - [18/Aug/2017:20:16:35 +0200] "GET /Simple-web-forum/WriteTest.jsp HTTP/1.1" 200 794
0:0:0:0:0:0:0:1 - - [18/Aug/2017:20:16:35 +0200] "GET /Simple-web-forum/WEB-SRC/StyleSettings.css HTTP/1.1" 200 1774
0:0:0:0:0:0:0:1 - - [18/Aug/2017:20:17:23 +0200] "GET /Simple-web-forum/WriteTest.jsp HTTP/1.1" 200 794
0:0:0:0:0:0:0:1 - - [18/Aug/2017:20:17:23 +0200] "GET /Simple-web-forum/WEB-SRC/StyleSettings.css HTTP/1.1" 200 1830
0:0:0:0:0:0:0:1 - - [18/Aug/2017:20:18:10 +0200] "GET /Simple-web-forum/WriteTest.jsp HTTP/1.1" 200 835
0:0:0:0:0:0:0:1 - - [18/Aug/2017:20:18:10 +0200] "GET /Simple-web-forum/WEB-SRC/StyleSettings.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Aug/2017:20:19:18 +0200] "GET /Simple-web-forum/WriteTest.jsp HTTP/1.1" 200 886
0:0:0:0:0:0:0:1 - - [18/Aug/2017:20:19:19 +0200] "GET /Simple-web-forum/WEB-SRC/StyleSettings.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Aug/2017:20:19:45 +0200] "GET /Simple-web-forum/WriteTest.jsp HTTP/1.1" 200 895
0:0:0:0:0:0:0:1 - - [18/Aug/2017:20:19:45 +0200] "GET /Simple-web-forum/WEB-SRC/StyleSettings.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Aug/2017:20:21:19 +0200] "GET /Simple-web-forum/WriteTest.jsp HTTP/1.1" 200 895
0:0:0:0:0:0:0:1 - - [18/Aug/2017:20:21:19 +0200] "GET /Simple-web-forum/WEB-SRC/StyleSettings.css HTTP/1.1" 200 1877
0:0:0:0:0:0:0:1 - - [18/Aug/2017:20:26:17 +0200] "GET /Simple-web-forum/WriteTest.jsp HTTP/1.1" 200 918
0:0:0:0:0:0:0:1 - - [18/Aug/2017:20:26:17 +0200] "GET /Simple-web-forum/WEB-SRC/StyleSettings.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Aug/2017:20:28:25 +0200] "GET /Simple-web-forum/WriteTest.jsp HTTP/1.1" 200 968
0:0:0:0:0:0:0:1 - - [18/Aug/2017:20:28:25 +0200] "GET /Simple-web-forum/WEB-SRC/StyleSettings.css HTTP/1.1" 200 5374
0:0:0:0:0:0:0:1 - - [18/Aug/2017:20:28:29 +0200] "GET /Simple-web-forum/MainPageStuff HTTP/1.1" 200 968
0:0:0:0:0:0:0:1 - - [18/Aug/2017:20:28:30 +0200] "GET /Simple-web-forum/MainPageStuff HTTP/1.1" 200 968
0:0:0:0:0:0:0:1 - - [18/Aug/2017:20:28:31 +0200] "GET /Simple-web-forum/MainPageStuff HTTP/1.1" 200 968
0:0:0:0:0:0:0:1 - - [18/Aug/2017:20:28:31 +0200] "GET /Simple-web-forum/WEB-SRC/StyleSettings.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Aug/2017:20:28:31 +0200] "GET /Simple-web-forum/MainPageStuff HTTP/1.1" 200 968
0:0:0:0:0:0:0:1 - - [18/Aug/2017:20:29:08 +0200] "GET /Simple-web-forum/MainPageStuff HTTP/1.1" 200 959
0:0:0:0:0:0:0:1 - - [18/Aug/2017:20:29:08 +0200] "GET /Simple-web-forum/WEB-SRC/StyleSettings.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Aug/2017:20:29:11 +0200] "GET /Simple-web-forum/MainPageStuff HTTP/1.1" 200 959
0:0:0:0:0:0:0:1 - - [18/Aug/2017:20:30:55 +0200] "GET /Simple-web-forum/MainPageStuff HTTP/1.1" 200 1004
0:0:0:0:0:0:0:1 - - [18/Aug/2017:20:30:55 +0200] "GET /Simple-web-forum/WEB-SRC/StyleSettings.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Aug/2017:20:31:35 +0200] "GET /Simple-web-forum/MainPageStuff HTTP/1.1" 200 1004
0:0:0:0:0:0:0:1 - - [18/Aug/2017:20:31:35 +0200] "GET /Simple-web-forum/WEB-SRC/StyleSettings.css HTTP/1.1" 200 5394
0:0:0:0:0:0:0:1 - - [18/Aug/2017:20:31:48 +0200] "GET /Simple-web-forum/MainPageStuff HTTP/1.1" 200 1004
0:0:0:0:0:0:0:1 - - [18/Aug/2017:20:31:48 +0200] "GET /Simple-web-forum/WEB-SRC/StyleSettings.css HTTP/1.1" 200 5397
0:0:0:0:0:0:0:1 - - [18/Aug/2017:20:32:46 +0200] "GET /Simple-web-forum/MainPageStuff HTTP/1.1" 200 1004
0:0:0:0:0:0:0:1 - - [18/Aug/2017:20:32:46 +0200] "GET /Simple-web-forum/WEB-SRC/StyleSettings.css HTTP/1.1" 200 5399
0:0:0:0:0:0:0:1 - - [18/Aug/2017:20:32:58 +0200] "GET /Simple-web-forum/MainPageStuff HTTP/1.1" 200 1004
0:0:0:0:0:0:0:1 - - [18/Aug/2017:20:32:58 +0200] "GET /Simple-web-forum/WEB-SRC/StyleSettings.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Aug/2017:20:33:10 +0200] "GET /Simple-web-forum/MainPageStuff HTTP/1.1" 200 1004
0:0:0:0:0:0:0:1 - - [18/Aug/2017:20:33:10 +0200] "GET /Simple-web-forum/WEB-SRC/StyleSettings.css HTTP/1.1" 200 5385
0:0:0:0:0:0:0:1 - - [18/Aug/2017:20:33:16 +0200] "GET /Simple-web-forum/MainPageStuff HTTP/1.1" 200 1004
