127.0.0.1 - - [05/Sep/2017:13:16:11 +0200] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [05/Sep/2017:13:16:12 +0200] "GET /Simple-web-forum/WEB-SRC/StyleSettingsMainPage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2017:13:16:12 +0200] "GET /Simple-web-forum/Subforums.jsp HTTP/1.1" 200 3355
0:0:0:0:0:0:0:1 - - [05/Sep/2017:13:16:19 +0200] "GET /Simple-web-forum/Subforums.jsp HTTP/1.1" 200 3355
0:0:0:0:0:0:0:1 - - [05/Sep/2017:13:16:19 +0200] "GET /Simple-web-forum/WEB-SRC/StyleSettingsMainPage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2017:13:16:19 +0200] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [05/Sep/2017:13:16:19 +0200] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [05/Sep/2017:13:16:26 +0200] "GET /Simple-web-forum/MainPageStuff HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Sep/2017:13:16:26 +0200] "GET /Simple-web-forum/Subforums.jsp HTTP/1.1" 200 3412
0:0:0:0:0:0:0:1 - - [05/Sep/2017:13:16:27 +0200] "GET /Simple-web-forum/AddForumServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Sep/2017:13:16:27 +0200] "GET /Simple-web-forum/AddSubforum.jsp HTTP/1.1" 200 1282
0:0:0:0:0:0:0:1 - - [05/Sep/2017:13:16:27 +0200] "GET /Simple-web-forum/WEB-SRC/StyleSettings.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2017:13:19:07 +0200] "POST /Simple-web-forum/AddForumServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Sep/2017:13:19:07 +0200] "GET /Simple-web-forum/MainPageStuff HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Sep/2017:13:19:07 +0200] "GET /Simple-web-forum/Subforums.jsp HTTP/1.1" 200 3412
0:0:0:0:0:0:0:1 - - [05/Sep/2017:17:23:27 +0200] "GET /Simple-web-forum/MainPageStuff HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Sep/2017:17:23:29 +0200] "GET /Simple-web-forum/Subforums.jsp HTTP/1.1" 200 933
0:0:0:0:0:0:0:1 - - [05/Sep/2017:17:24:11 +0200] "GET /Simple-web-forum/Subforums.jsp HTTP/1.1" 200 907
0:0:0:0:0:0:0:1 - - [05/Sep/2017:17:24:12 +0200] "GET /Simple-web-forum/WEB-SRC/StyleSettingsMainPage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2017:17:25:30 +0200] "GET /Simple-web-forum/MainPageStuff HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Sep/2017:17:25:30 +0200] "GET /Simple-web-forum/Subforums.jsp HTTP/1.1" 200 907
0:0:0:0:0:0:0:1 - - [05/Sep/2017:17:26:38 +0200] "GET /Simple-web-forum/Subforums.jsp HTTP/1.1" 200 907
0:0:0:0:0:0:0:1 - - [05/Sep/2017:17:26:38 +0200] "GET /Simple-web-forum/WEB-SRC/StyleSettingsMainPage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2017:17:26:40 +0200] "GET /Simple-web-forum/MainPageStuff HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Sep/2017:17:26:40 +0200] "GET /Simple-web-forum/Subforums.jsp HTTP/1.1" 200 907
0:0:0:0:0:0:0:1 - - [05/Sep/2017:17:26:51 +0200] "GET /Simple-web-forum/MainPageStuff HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Sep/2017:17:26:51 +0200] "GET /Simple-web-forum/Subforums.jsp HTTP/1.1" 200 907
0:0:0:0:0:0:0:1 - - [05/Sep/2017:17:26:53 +0200] "GET /Simple-web-forum/Subforums.jsp HTTP/1.1" 200 850
0:0:0:0:0:0:0:1 - - [05/Sep/2017:17:26:53 +0200] "GET /Simple-web-forum/WEB-SRC/StyleSettingsMainPage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2017:17:26:55 +0200] "GET /Simple-web-forum/MainPageStuff HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Sep/2017:17:26:56 +0200] "GET /Simple-web-forum/Subforums.jsp HTTP/1.1" 500 3376
0:0:0:0:0:0:0:1 - - [05/Sep/2017:17:27:26 +0200] "GET /Simple-web-forum/AddSubforum.jsp HTTP/1.1" 200 1282
0:0:0:0:0:0:0:1 - - [05/Sep/2017:17:27:27 +0200] "GET /Simple-web-forum/WEB-SRC/StyleSettings.css HTTP/1.1" 200 8155
0:0:0:0:0:0:0:1 - - [05/Sep/2017:17:27:34 +0200] "POST /Simple-web-forum/AddForumServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Sep/2017:17:27:34 +0200] "GET /Simple-web-forum/MainPageStuff HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Sep/2017:17:27:34 +0200] "GET /Simple-web-forum/Subforums.jsp HTTP/1.1" 500 3766
0:0:0:0:0:0:0:1 - - [05/Sep/2017:17:27:40 +0200] "GET /Simple-web-forum/Subforums.jsp HTTP/1.1" 500 3766
0:0:0:0:0:0:0:1 - - [05/Sep/2017:17:27:52 +0200] "GET /Simple-web-forum/Subforums.jsp HTTP/1.1" 500 3766
0:0:0:0:0:0:0:1 - - [05/Sep/2017:17:28:36 +0200] "GET /Simple-web-forum/Subforums.jsp HTTP/1.1" 500 3766
